%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1626822637701374660,8436,1626822637701176225,gps_base,0,1,37.4266255,-122.1844613,1.6640000000000001,0.690561,0.0,0.0,0.0,0.690561,0.0,0.0,0.0,1.4908410000000003,2
1626822637940509034,8437,1626822637940297635,gps_base,0,1,37.4266261,-122.1844603,1.489,0.695556,0.0,0.0,0.0,0.695556,0.0,0.0,0.0,1.498176,2
1626822638188882444,8438,1626822638188739370,gps_base,0,1,37.4266268,-122.1844594,1.35,0.697225,0.0,0.0,0.0,0.697225,0.0,0.0,0.0,1.4932839999999998,2
1626822638443871968,8439,1626822638443563465,gps_base,0,1,37.426627599999996,-122.18445879999999,1.224,0.692224,0.0,0.0,0.0,0.692224,0.0,0.0,0.0,1.478656,2
1626822638698742773,8440,1626822638698618397,gps_base,0,1,37.4266285,-122.18445829999999,1.061,0.695556,0.0,0.0,0.0,0.695556,0.0,0.0,0.0,1.478656,2
1626822638935601147,8441,1626822638935500948,gps_base,0,1,37.426629399999996,-122.18445759999999,0.79,0.7140249999999999,0.0,0.0,0.0,0.7140249999999999,0.0,0.0,0.0,1.507984,2
1626822639186731848,8442,1626822639186608796,gps_base,0,1,37.4266301,-122.1844565,0.554,0.744769,0.0,0.0,0.0,0.744769,0.0,0.0,0.0,1.5650009999999996,2
1626822639438841438,8443,1626822639438701577,gps_base,0,1,37.4266307,-122.1844557,0.386,0.7327359999999999,0.0,0.0,0.0,0.7327359999999999,0.0,0.0,0.0,1.5351210000000002,2
1626822639695880398,8444,1626822639695682005,gps_base,0,1,37.4266314,-122.1844545,0.181,0.7569,0.0,0.0,0.0,0.7569,0.0,0.0,0.0,1.5800489999999998,2
1626822639933953176,8445,1626822639933760989,gps_base,0,1,37.4266321,-122.18445369999999,-0.017,0.776161,0.0,0.0,0.0,0.776161,0.0,0.0,0.0,1.6129,2
1626822640188926257,8446,1626822640188738833,gps_base,0,1,37.4266327,-122.1844526,-0.266,0.804609,0.0,0.0,0.0,0.804609,0.0,0.0,0.0,1.6666809999999999,2
1626822640441587870,8447,1626822640441235222,gps_base,0,1,37.4266332,-122.184451,-0.47800000000000004,0.842724,0.0,0.0,0.0,0.842724,0.0,0.0,0.0,1.7424000000000002,2
1626822640697490187,8448,1626822640697117979,gps_base,0,1,37.4266337,-122.18444939999999,-0.6960000000000001,0.8854809999999999,0.0,0.0,0.0,0.8854809999999999,0.0,0.0,0.0,1.8279040000000002,2
1626822640936279099,8449,1626822640936162923,gps_base,0,1,37.4266341,-122.18444799999999,-0.872,0.9216,0.0,0.0,0.0,0.9216,0.0,0.0,0.0,1.8988839999999998,2
1626822641187216784,8450,1626822641187113043,gps_base,0,1,37.426634899999996,-122.1844464,-1.108,1.012036,0.0,0.0,0.0,1.012036,0.0,0.0,0.0,2.082249,2
1626822641443857615,8451,1626822641443445568,gps_base,0,1,37.426635499999996,-122.184445,-1.32,1.0302249999999997,0.0,0.0,0.0,1.0302249999999997,0.0,0.0,0.0,2.1170250000000004,2
1626822641694059452,8452,1626822641693942267,gps_base,0,1,37.4266359,-122.18444369999999,-1.478,1.0302249999999997,0.0,0.0,0.0,1.0302249999999997,0.0,0.0,0.0,2.111209,2
1626822641925646037,8453,1626822641925233592,gps_base,0,1,37.4266362,-122.1844424,-1.6360000000000001,1.028196,0.0,0.0,0.0,1.028196,0.0,0.0,0.0,2.1025,2
1626822642179503686,8454,1626822642179396940,gps_base,0,1,37.426636699999996,-122.18444149999999,-1.796,1.0020009999999997,0.0,0.0,0.0,1.0020009999999997,0.0,0.0,0.0,2.0448999999999997,2
1626822642454751494,8455,1626822642454636188,gps_base,0,1,37.4266372,-122.1844407,-1.961,0.9801,0.0,0.0,0.0,0.9801,0.0,0.0,0.0,1.9937439999999997,2
1626822642697599650,8456,1626822642697427754,gps_base,0,1,37.4266378,-122.18443979999999,-2.146,0.9801,0.0,0.0,0.0,0.9801,0.0,0.0,0.0,1.9824639999999998,2
1626822642948679153,8457,1626822642948581516,gps_base,0,1,37.4266383,-122.1844387,-2.294,0.968256,0.0,0.0,0.0,0.968256,0.0,0.0,0.0,1.9544039999999998,2
1626822643195787841,8458,1626822643195604798,gps_base,0,1,37.4266388,-122.1844376,-2.447,0.952576,0.0,0.0,0.0,0.952576,0.0,0.0,0.0,1.918225,2
1626822643438922680,8459,1626822643438724044,gps_base,0,1,37.4266394,-122.18443669999999,-2.559,0.9389609999999999,0.0,0.0,0.0,0.9389609999999999,0.0,0.0,0.0,1.885129,2
1626822643700072543,8460,1626822643699764338,gps_base,0,1,37.426639699999996,-122.18443549999999,-2.645,0.937024,0.0,0.0,0.0,0.937024,0.0,0.0,0.0,1.879641,2
1626822643940100801,8461,1626822643939957010,gps_base,0,1,37.4266401,-122.18443429999999,-2.734,0.944784,0.0,0.0,0.0,0.944784,0.0,0.0,0.0,1.8933759999999997,2
1626822644176147118,8462,1626822644176044384,gps_base,0,1,37.4266405,-122.18443309999999,-2.843,0.9801,0.0,0.0,0.0,0.9801,0.0,0.0,0.0,1.957201,2
1626822644389012616,8463,1626822644388745430,gps_base,0,1,37.427446599999996,-122.1839289,-3.466,458.47374399999995,0.0,0.0,0.0,458.47374399999995,0.0,0.0,0.0,4639.925689000001,2
1626822644646528208,8464,1626822644646348074,gps_base,0,1,37.427450199999996,-122.18391709999999,0.402,146.57944899999998,0.0,0.0,0.0,146.57944899999998,0.0,0.0,0.0,1229.764624,2
1626822644890272322,8465,1626822644890120189,gps_base,0,1,37.4274596,-122.1839016,4.837,72.522256,0.0,0.0,0.0,72.522256,0.0,0.0,0.0,598.4872959999999,2
1626822645203359695,8466,1626822645203020473,gps_base,0,1,37.4274625,-122.183899,4.862,55.562115999999996,0.0,0.0,0.0,55.562115999999996,0.0,0.0,0.0,437.68824099999995,2
1626822645510230473,8467,1626822645510066827,gps_base,0,1,37.4274651,-122.18389289999999,5.5120000000000005,44.36892099999999,0.0,0.0,0.0,44.36892099999999,0.0,0.0,0.0,340.919296,2
1626822645955530806,8468,1626822645955229973,gps_base,0,1,37.4274736,-122.1838825,7.5360000000000005,35.772361,0.0,0.0,0.0,35.772361,0.0,0.0,0.0,233.08128899999997,2
1626822646268886264,8469,1626822646268545648,gps_base,0,1,37.4274765,-122.18387919999999,7.602,32.501400999999994,0.0,0.0,0.0,32.501400999999994,0.0,0.0,0.0,194.128489,2
1626822646651745401,8470,1626822646651602880,gps_base,0,1,37.4274807,-122.18387589999999,8.295,29.844369,0.0,0.0,0.0,29.844369,0.0,0.0,0.0,167.573025,2
1626822646894581053,8471,1626822646894380014,gps_base,0,1,37.427484199999995,-122.18387369999999,8.787,27.164944,0.0,0.0,0.0,27.164944,0.0,0.0,0.0,135.93228100000002,2
1626822647142546626,8472,1626822647142292415,gps_base,0,1,37.4274963,-122.1838672,10.381,24.542115999999996,0.0,0.0,0.0,24.542115999999996,0.0,0.0,0.0,121.39632400000002,2
